"	部门","	员工编码","	员工姓名","	打卡时间","	当前班次","	该班次的上下班时间","	当前楼层","	门禁名称","	状态","	地点"
"	人力资源部","	21033887","	张三","	2022-07-11 12:50:18","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-11 12:36:15","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
"	人力资源部","	21033887","	张三","	2022-07-11 08:12:09","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-08 18:26:26","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-08 08:37:47","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-07 18:45:53","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-07 14:53:10","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-07 10:16:36","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-07 08:44:54","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-06 18:12:20","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-06 10:34:36","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-05 18:26:27","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负4楼北侧高区出"
"	人力资源部","	21033887","	张三","	2022-07-05 10:28:27","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	主楼大堂高区闸机左入口"
"	人力资源部","	21033887","	张三","	2022-07-05 10:26:06","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	主楼大堂高区闸机中出口"
"	人力资源部","	21033887","	张三","	2022-07-05 08:30:54","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负4楼东侧入"
"	人力资源部","	21033887","	张三","	2022-07-04 18:37:52","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-04 17:57:42","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-04 16:03:01","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
"	人力资源部","	21033887","	张三","	2022-07-04 14:42:20","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-04 13:50:39","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-01 18:02:23","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-01 12:40:25","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-01 12:38:35","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-01 08:40:45","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-30 18:21:25","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
